AverageFlow Volume Duration Outlet
19.354838709677423 600 32 washroomBasin
46.0 1334 30 washroomBasin
23.0 184 8 washroomBasin
31.07142857142857 435 15 washroomBasin
43.8 438 11 washroomBasin
30.615384615384613 398 14 washroomBasin
42.411764705882355 721 18 washroomBasin
44.91666666666666 539 13 washroomBasin
11.181818181818182 123 11 washroomBasin
15.23404255319149 716 50 washroomBasin
17.176470588235293 292 18 washroomBasin
24.566666666666666 737 32 washroomBasin
20.625 330 17 washroomBasin
18.4 184 10 washroomBasin
12.333333333333336 74 6 washroomBasin
35.39622641509434 1876 56 washroomBasin
26.04166666666667 625 26 washroomBasin
22.92045454545455 2017 94 washroomBasin
31.83333333333333 573 19 washroomBasin
24.69230769230769 321 14 washroomBasin
32.142857142857146 225 7 washroomBasin
41.949152542372886 4950 125 washroomBasin
25.66666666666667 154 6 washroomBasin
42.4 424 11 washroomBasin
32.357142857142854 453 15 washroomBasin
23.0 253 12 washroomBasin
42.952380952380956 902 22 washroomBasin
33.5 201 6 washroomBasin
31.094594594594593 2301 79 washroomBasin
33.5 1474 46 washroomBasin
37.57142857142857 526 15 washroomBasin
28.0625 449 17 washroomBasin
26.363636363636363 290 12 washroomBasin
13.4 134 11 washroomBasin
15.769230769230768 205 14 washroomBasin
32.62 1631 53 washroomBasin
30.052631578947373 571 21 washroomBasin
49.17741935483871 3049 66 washroomBasin
26.555555555555557 239 10 washroomBasin
33.85 1354 43 washroomBasin
21.571428571428577 151 7 washroomBasin
32.823529411764696 558 18 washroomBasin
39.70967741935485 1231 34 washroomBasin
26.33333333333333 158 6 washroomBasin
42.375 1356 34 washroomBasin
79.57142857142857 1114 15 washroomBasin
20.142857142857142 282 15 washroomBasin
14.823529411764708 252 18 washroomBasin
39.45945945945946 1460 42 washroomBasin
17.266666666666666 259 15 washroomBasin
70.33333333333333 1688 25 washroomBasin
23.28358208955224 1560 72 washroomBasin
44.33333333333334 665 16 washroomBasin
48.74285714285714 1706 37 washroomBasin
19.58333333333333 235 13 washroomBasin
28.42857142857143 995 38 washroomBasin
13.333333333333336 160 13 washroomBasin
74.83333333333333 449 7 washroomBasin
77.1111111111111 694 10 washroomBasin
28.66666666666667 258 10 washroomBasin
69.625 1671 25 washroomBasin
14.333333333333336 989 73 washroomBasin
55.444444444444436 499 9 washroomBasin
64.35714285714286 901 15 washroomBasin
14.6 292 21 washroomBasin
37.77777777777778 680 19 washroomBasin
41.266666666666666 619 16 washroomBasin
27.92857142857143 391 15 washroomBasin
87.8 878 10 washroomBasin
69.5 695 10 washroomBasin
76.77777777777777 691 12 washroomBasin
45.66666666666666 411 9 washroomBasin
37.92307692307692 493 14 washroomBasin
33.42857142857143 234 8 washroomBasin
25.93333333333333 389 17 washroomBasin
19.75 632 71 washroomBasin
30.153846153846153 392 28 washroomBasin
48.5 873 19 washroomBasin
34.72727272727273 764 23 washroomBasin
28.0 308 12 washroomBasin
29.25 234 8 washroomBasin
37.16 929 27 washroomBasin
44.189189189189186 1635 44 washroomBasin
44.72222222222222 805 19 washroomBasin
35.206896551724135 1021 31 washroomBasin
33.285714285714285 233 8 washroomBasin
28.555555555555557 257 9 washroomBasin
22.8 342 17 washroomBasin
46.33333333333334 1529 34 washroomBasin
38.31818181818182 843 24 washroomBasin
41.625 333 8 washroomBasin
44.5 356 9 washroomBasin
19.5 234 13 washroomBasin
16.24 406 27 washroomBasin
21.66666666666667 130 6 washroomBasin
26.5 159 9 washroomBasin
33.814814814814824 913 30 washroomBasin
17.357142857142858 243 15 washroomBasin
26.57142857142857 186 8 washroomBasin
37.173469387755105 3643 104 washroomBasin
38.78846153846154 2017 55 washroomBasin
16.94736842105263 322 20 washroomBasin
69.42857142857143 486 7 washroomBasin
29.882352941176467 508 18 washroomBasin
30.875 247 9 washroomBasin
20.7536231884058 1432 73 washroomBasin
58.77777777777778 529 10 washroomBasin
35.73684210526316 679 20 washroomBasin
23.3 233 11 washroomBasin
28.785714285714285 403 15 washroomBasin
34.46153846153846 1344 41 washroomBasin
28.625 687 26 washroomBasin
12.375 99 9 washroomBasin
36.29166666666666 871 26 washroomBasin
29.76 744 27 washroomBasin
35.166666666666664 211 6 washroomBasin
19.706521739130434 1813 99 washroomBasin
43.13333333333333 647 16 washroomBasin
23.857142857142854 167 8 washroomBasin
21.69230769230769 282 14 washroomBasin
36.714285714285715 257 7 washroomBasin
19.058823529411768 648 37 washroomBasin
30.3 1818 63 washroomBasin
22.956521739130434 528 25 washroomBasin
36.333333333333336 218 6 washroomBasin
56.714285714285715 397 7 washroomBasin
75.15686274509805 3833 55 washroomBasin
28.75 460 17 washroomBasin
13.571428571428573 95 7 washroomBasin
