AverageFlow Volume Duration Outlet
132.63636363636363 1459 11 washingMachine
129.0909090909091 1420 12 washingMachine
165.66666666666666 1988 13 washingMachine
162.52380952380952 3413 22 washingMachine
164.31034482758622 4765 30 washingMachine
175.11111111111111 3152 19 washingMachine
174.88888888888889 1574 10 washingMachine
172.87755102040816 8471 52 washingMachine
145.125 1161 8 washingMachine
162.48275862068962 4712 31 washingMachine
172.0888888888889 7744 48 washingMachine
139.85714285714286 979 8 washingMachine
142.28571428571428 996 7 washingMachine
160.0 1120 8 washingMachine
156.5 1252 8 washingMachine
167.1860465116279 7189 48 washingMachine
163.625 1309 8 washingMachine
170.06666666666666 7653 48 washingMachine
144.77777777777774 1303 10 washingMachine
161.33333333333334 1452 10 washingMachine
167.53846153846158 2178 14 washingMachine
151.27272727272728 1664 12 washingMachine
176.3 3526 22 washingMachine
172.6818181818182 3799 23 washingMachine
151.36363636363637 1665 13 washingMachine
150.0 1350 10 washingMachine
155.0 1395 10 washingMachine
180.59615384615384 9391 56 washingMachine
165.15384615384616 2147 14 washingMachine
175.76190476190476 3691 22 washingMachine
174.61538461538458 4540 28 washingMachine
168.07142857142858 2353 15 washingMachine
178.33333333333337 9630 57 washingMachine
136.71428571428572 957 7 washingMachine
174.28571428571428 8540 52 washingMachine
158.42857142857142 1109 8 washingMachine
154.42857142857142 1081 7 washingMachine
153.44444444444446 1381 10 washingMachine
151.57142857142858 1061 9 washingMachine
174.9230769230769 4548 43 washingMachine
128.0 768 9 washingMachine
179.77777777777774 6472 48 washingMachine
156.75 1254 10 washingMachine
150.0 1050 8 washingMachine
161.83333333333334 1942 14 washingMachine
170.61111111111111 3071 23 washingMachine
173.33333333333337 3120 22 washingMachine
181.6923076923077 2362 15 washingMachine
162.0 1134 9 washingMachine
180.6888888888889 8131 47 washingMachine
148.625 1189 8 washingMachine
164.14285714285714 1149 9 washingMachine
167.58333333333334 2011 13 washingMachine
164.4 3288 22 washingMachine
131.88888888888889 1187 9 washingMachine
172.0625 5506 34 washingMachine
158.69230769230768 2063 13 washingMachine
174.84615384615384 9092 55 washingMachine
146.0 1022 8 washingMachine
146.71428571428572 1027 8 washingMachine
179.35714285714286 7533 45 washingMachine
155.42857142857142 1088 8 washingMachine
184.84782608695653 8503 49 washingMachine
152.5 1525 11 washingMachine
171.9230769230769 2235 14 washingMachine
169.0212765957447 7944 50 washingMachine
173.85714285714286 3651 22 washingMachine
181.65217391304347 4178 25 washingMachine
168.0 2016 12 washingMachine
177.65306122448982 8705 53 washingMachine
149.0 894 7 washingMachine
162.71428571428572 1139 7 washingMachine
166.33333333333334 1497 10 washingMachine
181.7317073170732 7451 44 washingMachine
139.77777777777777 1258 10 washingMachine
181.02272727272728 7965 47 washingMachine
162.77777777777774 1465 10 washingMachine
171.875 1375 8 washingMachine
163.0 2282 14 washingMachine
174.28571428571428 3660 22 washingMachine
166.44444444444446 2996 19 washingMachine
156.5625 2505 17 washingMachine
177.28571428571428 8687 52 washingMachine
135.625 1085 8 washingMachine
147.55555555555554 1328 10 washingMachine
173.66666666666663 1563 10 washingMachine
177.91666666666663 2135 13 washingMachine
180.06382978723408 8463 50 washingMachine
174.71428571428572 3669 22 washingMachine
174.35714285714286 4882 30 washingMachine
157.71428571428572 2208 15 washingMachine
146.2 1462 11 washingMachine
157.66666666666666 1419 10 washingMachine
158.35714285714286 2217 15 washingMachine
155.7 1557 11 washingMachine
175.5714285714286 3687 22 washingMachine
179.56521739130437 4130 25 washingMachine
161.78571428571428 2265 15 washingMachine
146.0 1314 9 washingMachine
168.9607843137255 8617 59 washingMachine
139.27272727272728 1532 11 washingMachine
173.5 2082 13 washingMachine
167.85714285714286 3525 22 washingMachine
178.74193548387098 5541 33 washingMachine
151.36363636363637 1665 12 washingMachine
174.4285714285714 9768 61 washingMachine
181.41304347826087 8345 49 washingMachine
143.25 1146 8 washingMachine
161.125 1289 9 washingMachine
150.625 1205 8 washingMachine
174.625 8382 51 washingMachine
132.88888888888889 1196 9 washingMachine
167.61818181818182 9219 58 washingMachine
157.88888888888889 1421 10 washingMachine
160.30769230769232 2084 14 washingMachine
190.4 3808 21 washingMachine
181.7659574468085 8543 50 washingMachine
175.0 4725 29 washingMachine
178.0 2670 16 washingMachine
181.2692307692308 9426 58 washingMachine
131.0 917 8 washingMachine
160.75 1286 8 washingMachine
131.14285714285714 918 8 washingMachine
123.0 861 7 washingMachine
160.14 8007 54 washingMachine
141.76923076923075 1843 13 washingMachine
140.375 1123 8 washingMachine
181.27272727272728 7976 47 washingMachine
177.93023255813952 7651 49 washingMachine
153.73333333333332 2306 16 washingMachine
152.6 1526 11 washingMachine
163.66666666666666 1964 13 washingMachine
167.8 3356 22 washingMachine
171.66666666666666 7210 46 washingMachine
170.0 2040 13 washingMachine
157.875 1263 9 washingMachine
171.3404255319149 8053 50 washingMachine
146.0 876 7 washingMachine
130.125 1041 9 washingMachine
166.16981132075472 8807 56 washingMachine
162.6037735849057 8618 56 washingMachine
182.6923076923077 2375 13 washingMachine
170.9047619047619 3589 23 washingMachine
159.83333333333334 3836 25 washingMachine
167.3 1673 11 washingMachine
173.6730769230769 9031 55 washingMachine
144.8 1448 11 washingMachine
151.5 1515 10 washingMachine
154.0 1540 10 washingMachine
